term,estimate,std.error,statistic,p.value,odds_ratio
(Intercept),-1.2435393903403513,0.37862191374364024,-3.2843830354265626,0.0010220591188805153,0.28836178469595825
calories,0.0020448062542268684,0.0014500504955950115,1.41016210155344,0.15849182351493826,1.0020468982962327
sodium,-0.0017656111634796812,5.866764180407281e-4,-3.0095144600768826,0.0026166562275527455,0.9982359466109677
protein,0.05599582503696212,0.0239108950813899,2.3418539894202564,0.01918821997843138,1.0575932683145899
