model,train_rmse,valid_rmse,valid_r2
LinearRegression,12.155576185195056,12.987401652633542,0.47335931722349256
Ridge,12.155762800130237,12.987563560279423,0.4733461863930236
RandomForest,10.347495323462262,12.64662992373209,0.5006334112885813
