model,AIC,deviance,pseudo_R2
Model 4: Income + Educ + Home,956001.7139915641,955641.7139915641,0.1090282829661382
Model 2: Income + Home,958102.0852802093,957842.0852802093,0.10697681476790766
Model 1: Income + Educ,975355.7832648115,975035.7832648115,0.09094664531086583
Model 3: Educ + Home,1023483.7489096089,1023323.7489096089,0.04592641332149805
