k,silhouette_score,inertia
2,0.43347230520989777,14650.000677464754
3,0.3031024286992617,12487.601219179185
4,0.2973983632144802,11117.0547878059
5,0.3005402668020664,10352.403671516146
6,0.2939626347247664,9680.827655748239
7,0.290564353459296,9066.957947130593
8,0.29057368168461656,8650.505903960626
